Custo fixo de instalar hubs;Custo fixo de instalar gateways;Custo fixo de instalar arcos entre hubs;Custo fixo de instalar arcos entre gateways;ID teste;Economia de escala entre hubs;Economia de escala entre gateways;Qtd_hubs;Qtd_gateways;Qtd_interhubs;Qutd_inter_gateways;Fluxo_direto;fluxo_hub;Fluxo_gateway;demanda_direta;demanda_hub;demanda_gateway;Fluxo_gatway_com_escala_entre_hubs
1000;10000;0,1;1000;10;0,2;0,2;32;13;93;15;5,10769887;11,90019194;82,99210919;1,58149352;13,0907679;85,32773858;23,99232246
1000;10000;0,1;1000;10;0,5;0,2;31;27;9;69;6,174024312;0,831733845;92,99424184;2,226780131;0,20062851;97,57259136;25,79441245
1000;10000;0,1;1000;10;0,5;0,5;31;16;86;21;8,26402218;8,743868629;82,99210919;3,763568611;10,85736291;85,37906848;30,89144807
1000;10000;0,1;1000;10;0,8;0,2;30;29;1;74;6,621880998;0,010663254;93,36745575;2,163481675;0,008615735;97,82790259;25,21859672
1000;10000;0,1;1000;10;0,8;0,5;30;25;14;66;10,17274472;0,74642781;89,08082747;3,908867274;0,31530111;95,77583162;30,98741736
1000;10000;0,1;1000;10;0,8;0,8;31;17;87;18;12,01748774;4,990403071;82,99210919;3,862804058;11,33998236;84,79721358;31,8191512
10000;10000;1;1000;10;0,2;0,2;31;13;86;15;5,214331414;11,79355939;82,99210919;2,100580829;12,85419761;85,04522156;23,78972062
10000;10000;1;1000;10;0,5;0,2;27;27;1;68;6,856472595;0;93,1435274;2,336529566;0;97,66347043;25,60247388
10000;10000;1;1000;10;0,5;0,5;28;16;75;21;9,245041587;7,762849222;82,99210919;3,831009475;10,61085034;85,55814018;31,12603967
10000;10000;1;1000;10;0,8;0,2;27;27;0;68;6,856472595;0;93,1435274;2,336529566;0;97,66347043;25,61313713
10000;10000;1;1000;10;0,8;0,5;22;22;0;62;11,6762636;0,010663254;88,31307315;4,851844326;0,003046144;95,14510953;35,60460653
10000;10000;1;1000;10;0,8;0,8;22;16;49;20;14,12881211;2,879078695;82,99210919;4,130948503;11,19865318;84,67039831;40,30710173
10000;100000;1;10000;10;0,2;0,2;31;6;83;6;5,214331414;11,79355939;82,99210919;2,100580829;12,85419761;85,04522156;19,85497974
10000;100000;1;10000;10;0,5;0,2;28;15;29;31;8,26402218;4,041373427;87,69460439;2,352560726;1,164376946;96,48306233;21,04926424
10000;100000;1;10000;10;0,5;0,5;29;9;78;8;9,042439753;7,965451056;82,99210919;3,834467791;10,89122666;85,27430555;21,96630412
10000;100000;1;10000;10;0,8;0,2;17;16;1;31;11,95350821;0,042653018;88,00383877;3,137676316;0,029229764;96,83309392;27,9590531
10000;100000;1;10000;10;0,8;0,5;18;12;20;18;14,26743442;1,279590531;84,45297505;2,027980803;3,215789146;94,75623005;33,18404777
10000;100000;1;10000;10;0,8;0,8;19;11;44;11;14,58733205;2,420558755;82,99210919;4,133630725;11,1818197;84,68454958;35,9138409
100000;100000;10;10000;10;0,2;0,2;17;6;32;6;11,47366176;5,534229047;82,99210919;2,830998926;11,2980488;85,87095227;25,16528044
100000;100000;10;10000;10;0,5;0,2;14;14;0;27;12,61462999;0,010663254;87,37470676;3,157881763;-0,000202661;96,8423209;33,96246534
100000;100000;10;10000;10;0,5;0,5;14;9;21;9;14,04350608;2,96438473;82,99210919;7,80700025;-7,879071658;100,0720714;35,01812753
100000;100000;10;10000;10;0,8;0,2;14;14;0;27;12,61462999;0,010663254;87,37470676;3,157881763;-0,000202661;96,8423209;33,96246534
100000;100000;10;10000;10;0,8;0,5;11;11;0;18;15,48304543;0,010663254;84,50629132;2,585757251;-0,000717473;97,41496022;38,17445084
100000;100000;10;10000;10;0,8;0,8;9;9;5;9;16,60268714;0,405203668;82,99210919;0,205404971;-0,816482091;100,6110771;44,78566859
100000;1000000;10;100000;10;0,2;0,2;17;5;32;4;11,47366176;5,534229047;82,99210919;2,830998926;11,2980488;85,87095227;19,59906163
100000;1000000;10;100000;10;0,5;0,2;13;5;17;4;14,1074856;2,900405204;82,99210919;7,930114617;-8,232353379;100,3022388;19,89763276
100000;1000000;10;100000;10;0,5;0,5;14;5;21;4;14,06483259;2,943058221;82,99210919;7,932442444;-8,233913864;100,3014714;19,19385797
100000;1000000;10;100000;10;0,8;0,2;6;6;0;5;16,59202389;0,010663254;83,39731286;0,35966978;-0,000505886;99,64083611;24,41885263
100000;1000000;10;100000;10;0,8;0,5;6;6;0;6;16,77329921;0,010663254;83,21603753;0,34310675;-0,000488906;99,65738216;29,60119428
100000;1000000;10;100000;10;0,8;0,8;6;5;1;5;16,92258477;0,085306035;82,99210919;0,184409088;-0,175568834;99,99115975;42,66368096
